,Tweet,Sentiment
233,"""It's a perfect situation for Damian Lillard... Philly is in a world of trouble... keep your eyes open for Joel Embiid. He might demand to be traded after this.

Stephen A. Smith reacts to Dame being traded to the Milwaukee Bucks ",2
234,"Yeah except KD went to the team that lost the finals, Dame went to a first round exit",1
235,"Congratulations to the Bucks, NBA Jam champions (I think)",2
236,"Emergency Pod

Damian Lillard to the Bucks
Where did this come from?
How is the fit?
@eric_nehm
 
@DaveDuFourNBA
 

Listen
Apple: ",1
237,"Last week w/ 
@danfavale
 on 
@HardwoodKnocks
, we discussed the Dame trade saga… 

: https://youtu.be/VfD7oYZSA8c?si=9fp2roa-kEru7phs…",1
238,"obrigado por tudo meu mano Jrue Holiday

MILWAUKEE BUCKS LEGEND.",1
239,"The national media absolutely crucified the Houston #Rockets for trading James Harden for the largest collection of first round picks in NBA history. 

I wonder will the same energy be upheld for what the Portland Trailblazers traded Damian Lillard for?",1
240,Not only did Damian Lillard get traded but DeanScorpion came back ,1
241,"Are the Milwaukee Bucks “America’s Team” now? 

Damian Lillard, Giannis Antetokounmpo and Khris Middleton…",2
242,"Bucks owner Wes Edens owns the Milwaukee Journal Sentinal. Yesterday they published a story with a quote from Jrue Holiday backtracking his retirement talk and saying he won’t retire after his current contract. This was great for his value.

Today they traded him.",1
243,Updated odds to win the East now that the dust is settled from the Dame trade. Who’s overvalued and who’s undervalued?,1
244,"Damian Lillard is heading to the Milwaukee Bucks and the trade shook up the NBA futures markets on 
@FanDuelCanada
 

A thread ",1
245,"New EMERGENCY episode of All Things NBA: From A to Z out now!
@ZakNoble
,  
@AnalyticsCapper
, and I broke down the Damian Lillard trade to the Milwaukee Bucks! From Phoenix's involvement to Dame and Giannis teaming up, all the analysis you need is here.

Presented by 
@BallisLife
:",1
246,"If Khris stays healthy this season, I could easily see him having the best season of his career. He’s gonna feast off of Dame/Giannis gravity and not have to shoulder nearly as much of a burden. This is the ideal scenario for his game to age as gracefully as possible",2
247,I am calling it. Suns vs Bucks Nba finals. 2024  Yes that’s it .,2
248,Dame x Giannis duo,1
249,"@Mbarnes_
 damn when we gone announce gettin dame 
@Bucks
 ?",1
250,Ball can move like crazy especially since Giannis and Brook are great playmaking big men. Double and triple teams will be punished. Dame/Giannis pick and rolls starting from behind the arc ,2
251,The most exciting thing about the Dame trade is never hearing about potential Dame trades anymore lol,1
252,Damian Lillard traded to the Milwaukee bucks,1
253,KD can’t even guard Giannis,2
254,"Jrue Holiday has won three of the NBA's last four ""Teammate of the Year"" awards...Damian Lillard won the other one.",1
255,For Dame? sometimes you gotta say fuck niggas ,1
256,The Bucks didn’t get any older with the Damian Lillard trade. He is the same age as Jrue Holiday.,1
257,"Sources to 
@andscape
: With Miami talks going nowhere, agent Aaron Goodwin privately told the Bucks and Nets 10 days ago that Dame would be interested in a deal there. The Raptors were a real contender to land the ex-Blazers star, but ultimately Bucks got it done per Woj report.",1
258,"When Damian Lillard gets traded while you're picking up your kids, do you run from the grind? Well, if you're me and 
@VinceGoodwill
, you run TO the MICROPHONE!
@Balldontlie
 reaction podcast, go!

: https://youtu.be/0VV1VLE4Uhw
: https://apple.co/3PUxqjT
:",1
259,Damian Lillard traded to Milwaukee: How it affects the Bucks’ NBA Championship odds,1
260,"The 
@bucks
 really hit rock bottom with this trade 
#Milwaukee #giannis #dame #nba #blazers #jrue",0
261,"Call me crazy but I’d take CURRENT Jrue over CURRENT Dame Lillard any day.

•The Suns get desperately needed depth.

•The Blazers get two young studs who offer more on both ends than an aging Dame could.

•Bucks are losers here in my opinion.",0
262,"Damian Lillard has been traded to the Milwaukee Bucks

Tonight @ 6:30 PM 
@DannyMarang
 & 
@BrandonSprague",1
263,"The Bucks in 20-21 NBA season

Trades for star guard Jrue Holiday after Giannis threatens to leave. 
NBA Champions 

The Bucks in the 23-24 NBA season 

Trades for star guard Damian Lillard after Giannis threatens to leave. 
????",2
264,"Ya know what? Let’s celebrate the Lillard era in Portland…

What is your favorite memory of Damian Lillard?",1
265,"EMERGENCY PODCAST

Damian Lillard Traded to the Milwaukee Bucks Reaction

Episode 3: https://youtu.be/KonoJMID7c8?si=SRO-ltaEIwrFoxcf… via 
@YouTube
 

Shout out to the co-hosts!
@krispursiainen
 
@Zaknoble
 
@AnalyticsCapper
 

Presented By: ",1
